2026-05-04 23:21:14 | ETCH-03 | A007 | Pump Speed Low | LOW | 37min
2026-05-16 02:51:14 | ETCH-03 | A002 | Gas Flow Deviation | MEDIUM | 117min
2026-05-16 05:41:14 | ETCH-03 | A003 | Chamber Pressure Out of Range | MEDIUM | 35min
2026-05-16 07:31:14 | ETCH-03 | A002 | Gas Flow Deviation | MEDIUM | 96min
2026-05-16 10:37:14 | ETCH-03 | A002 | Gas Flow Deviation | MEDIUM | 71min
2026-05-16 10:49:14 | ETCH-01 | A001 | RF Power Fault | HIGH | 85min
2026-05-16 14:46:14 | ETCH-03 | A006 | Wafer Transfer Error | CRITICAL | 11min
2026-05-16 16:06:14 | CMP-01 | A006 | Wafer Transfer Error | MEDIUM | 69min
2026-05-16 18:45:14 | ETCH-03 | A004 | Temperature Exceedance | HIGH | 11min
2026-05-16 20:29:14 | ETCH-03 | A002 | Gas Flow Deviation | LOW | 36min
2026-05-16 23:37:14 | CMP-01 | A001 | RF Power Fault | CRITICAL | 112min
2026-05-17 00:43:14 | ETCH-02 | A006 | Wafer Transfer Error | MEDIUM | 58min
2026-05-17 04:09:14 | CMP-01 | A007 | Pump Speed Low | MEDIUM | 100min
2026-05-17 06:00:14 | CVD-01 | A004 | Temperature Exceedance | LOW | 43min
2026-05-17 09:20:14 | CMP-01 | A008 | Coolant Flow Fault | LOW | 120min
2026-05-17 12:57:14 | ETCH-02 | A004 | Temperature Exceedance | HIGH | 12min
2026-05-17 12:58:14 | ETCH-02 | A002 | Gas Flow Deviation | MEDIUM | 54min
2026-05-17 14:20:14 | ETCH-03 | A005 | End Point Detection Failure | HIGH | 22min
2026-05-17 15:54:14 | ETCH-02 | A002 | Gas Flow Deviation | MEDIUM | 112min
2026-05-17 19:31:14 | CVD-01 | A008 | Coolant Flow Fault | MEDIUM | 49min
2026-05-17 20:05:14 | ETCH-02 | A006 | Wafer Transfer Error | HIGH | 83min
2026-05-17 22:40:14 | ETCH-02 | A006 | Wafer Transfer Error | MEDIUM | 75min
2026-05-18 00:34:14 | ETCH-03 | A005 | End Point Detection Failure | LOW | 81min
2026-05-18 03:45:14 | CMP-01 | A002 | Gas Flow Deviation | LOW | 72min
2026-05-18 05:41:14 | CMP-01 | A006 | Wafer Transfer Error | CRITICAL | 15min
2026-05-18 08:18:14 | CVD-01 | A003 | Chamber Pressure Out of Range | MEDIUM | 36min
2026-05-18 11:58:14 | ETCH-03 | A002 | Gas Flow Deviation | LOW | 109min
2026-05-18 15:57:14 | CMP-01 | A005 | End Point Detection Failure | LOW | 96min
2026-05-18 19:36:14 | ETCH-03 | A003 | Chamber Pressure Out of Range | MEDIUM | 80min
2026-05-18 21:16:14 | CMP-01 | A008 | Coolant Flow Fault | MEDIUM | 59min
2026-05-18 22:51:14 | CVD-01 | A005 | End Point Detection Failure | LOW | 51min
2026-05-19 02:48:14 | ETCH-02 | A005 | End Point Detection Failure | MEDIUM | 48min
2026-05-19 04:47:14 | CVD-01 | A004 | Temperature Exceedance | HIGH | 105min
2026-05-19 06:41:14 | ETCH-02 | A007 | Pump Speed Low | LOW | 110min
2026-05-19 08:07:14 | ETCH-02 | A007 | Pump Speed Low | MEDIUM | 68min
2026-05-19 10:09:14 | CVD-01 | A001 | RF Power Fault | CRITICAL | 7min
2026-05-19 11:41:14 | ETCH-03 | A004 | Temperature Exceedance | MEDIUM | 28min
2026-05-19 15:08:14 | CMP-01 | A006 | Wafer Transfer Error | MEDIUM | 116min
2026-05-19 16:09:14 | ETCH-02 | A003 | Chamber Pressure Out of Range | MEDIUM | 19min
2026-05-19 20:01:14 | CMP-01 | A006 | Wafer Transfer Error | LOW | 101min
2026-05-19 20:23:14 | ETCH-03 | A008 | Coolant Flow Fault | LOW | 67min
2026-05-19 22:58:14 | ETCH-01 | A007 | Pump Speed Low | HIGH | 29min
2026-05-20 02:10:14 | CVD-01 | A007 | Pump Speed Low | MEDIUM | 84min
2026-05-20 06:10:14 | ETCH-02 | A003 | Chamber Pressure Out of Range | LOW | 65min
2026-05-20 08:03:14 | ETCH-03 | A006 | Wafer Transfer Error | CRITICAL | 3min
2026-05-20 10:04:14 | ETCH-02 | A006 | Wafer Transfer Error | HIGH | 39min
2026-05-20 13:55:14 | ETCH-01 | A005 | End Point Detection Failure | HIGH | 40min
2026-05-20 17:04:14 | ETCH-03 | A005 | End Point Detection Failure | LOW | 108min
2026-05-20 17:52:14 | CMP-01 | A001 | RF Power Fault | HIGH | 114min
2026-05-20 18:12:14 | CVD-01 | A005 | End Point Detection Failure | HIGH | 111min
2026-05-20 22:10:14 | CMP-01 | A004 | Temperature Exceedance | HIGH | 105min
2026-05-21 01:27:14 | CVD-01 | A003 | Chamber Pressure Out of Range | LOW | 3min
2026-05-21 04:07:14 | ETCH-01 | A005 | End Point Detection Failure | HIGH | 92min
2026-05-21 07:53:14 | CMP-01 | A006 | Wafer Transfer Error | LOW | 76min
2026-05-21 09:36:14 | CMP-01 | A001 | RF Power Fault | MEDIUM | 63min
2026-05-21 11:24:14 | ETCH-01 | A008 | Coolant Flow Fault | MEDIUM | 63min
2026-05-21 12:40:14 | ETCH-02 | A001 | RF Power Fault | LOW | 50min
2026-05-21 13:19:14 | ETCH-01 | A003 | Chamber Pressure Out of Range | LOW | 120min
2026-05-21 17:02:14 | ETCH-02 | A005 | End Point Detection Failure | LOW | 88min
2026-05-21 18:31:14 | CMP-01 | A002 | Gas Flow Deviation | MEDIUM | 102min
2026-05-21 22:15:14 | CMP-01 | A002 | Gas Flow Deviation | HIGH | 103min
2026-05-21 22:49:14 | ETCH-02 | A005 | End Point Detection Failure | HIGH | 111min
2026-05-22 01:44:14 | ETCH-01 | A002 | Gas Flow Deviation | MEDIUM | 99min
2026-05-22 05:25:14 | CMP-01 | A005 | End Point Detection Failure | LOW | 102min
2026-05-22 09:00:14 | ETCH-02 | A003 | Chamber Pressure Out of Range | HIGH | 71min
2026-05-22 09:25:14 | CVD-01 | A007 | Pump Speed Low | MEDIUM | 113min
2026-05-22 10:18:14 | ETCH-01 | A007 | Pump Speed Low | MEDIUM | 95min
